id,tweet,label,length
train_yoruba_00024,ohun a mọ̀ ni pé ojú orórì ọ̀rànmíyàn ni a mọ ọ̀pá ńlá nì sí láti fi rántí idán tí ọ̀dẹ̀dẹ̀ fọ̀pá àràmàndà nì ṣe lójú ayée rẹ̀,Normal,126
train_yoruba_00025,ọmọ ọba ìlú ni ajénifújà jẹ́ kí ogun tó kó ìlú wọn tí ó rán baba rẹ lọ sọ̀run tí ó sì sọ dí ẹrú kí ó tó gba ibẹ̀ dé oko,Normal,119
train_yoruba_00026,àwa gba wèrè èdè a gba wèrè àṣà àwa ni wọ́n ń pè ní ọmọ ọkọ a gbé ti wa n ti wa lárugẹ a yan tiwa láàyò,Abuse,103
train_yoruba_00027,"""recall: former senate president bukola saraki welcomed with chant of ole ole (thief) in okuta, baruten lga for 16 years rots in kwara north. #neveragainsaraki ##url",Normal,165
train_yoruba_00028,odi igba ti won ba gbegba oroke ki emi to yin wonigba naa ni moma mo boya super eagle niwon toto,Normal,96
train_yoruba_00029,"""i wanted to dash someone shrimps and prawns tell to inbox her digit or address for dispatch rider to locate her. well eniyan buruku ti ba enia rere je ##url",Normal,157
train_yoruba_00030,"""omo buruku ni ogun omo ale! ##url",Abuse,34
train_yoruba_00031,sa ipáa tì ẹ̀ kí èmi sa tèmi á dára má dàá kò kàn mí àgbájọwọ́ la fi ń sọ̀yà àjèjì ọwọ́ kan ò gbẹ́rù dórí,Normal,106
train_yoruba_00032,"""ori gbogbo yin ti daru lori app yi✌️😃""",Abuse,39
train_yoruba_00033,"""ki ni buruku yi ti yawerey faa. 😕😕 ##url",Abuse,41
train_yoruba_00034,òkè àgọ́ òwu òkè olúmọ òkè ọnà àdó èkìtì ìyìn èkìtì ìjẹ̀bú òde ìjẹ̀bú ìliṣàn ìjẹ̀bú igbó,Normal,88
train_yoruba_00035,nínú ọrọ̀ ajé àti ìṣèlú bá ti dara pọ̀ mọ́ ìlú òmìnira ni abúlé náà yóò ma jà fùún wọ́n ma yan baálẹ̀ ẹni tó kọ́kọ́ gbé nínú ìlú náà tàbí ọmọkùnrin rẹ̀ lẹ́yìn èyí ni wọ́n ma lọ sí ọ̀dọ̀ ọba láti lọ fi to létí fún ìdánimọ̀ àti fún ìyànda láti dá,Normal,244
train_yoruba_00036,dìde kí wọ́n fi ẹ̀bùn ráńṣẹ́ sí benin bí ìjà abẹ́lé yìí ṣe ń lọ wọ́n pa oníṣòwò benin tí orúkọ rẹ̀ ń jẹ́ ogonto tí ó tún mú ìjà adóàkúrẹ́ àti àkúrẹ́ lágbára si olóyè benin kan osagwe fi ara rẹ̀ hàn gege bíi òjíṣẹ́ ọba benin fún àwọn ará àkúrẹ́,Normal,243
train_yoruba_00037,à ṣé àwọn tí wọn ń pé àlàmú lájá kò sọ àsọrégè rárá bí ó tí lẹ̀ jẹ́ pé àbísọ rẹ̀ ni nítorípé àbíkú ni àlàmú jẹ́ ọmọ kan tí gbogbo abà má ń bẹ̀rù láti kò lọ́nà ní ibikíbi tí kò báà wù kó jẹ́ nínú ìlú ka ìtàn yìí ni,Normal,213
train_yoruba_00038,"""*happening now:* supporters welcome vp yemi osinbajo at ilorin airport.  the vp is in ilorin to grace the turbanning of ilorin based legal luminary dr. alimi abdulrazaq as mutawali of ilorin by emir of ilorin alhaji ibrahim sulu gambari  #osinbajoinkwara @username ##url",Normal,271
train_yoruba_00039,má sọ wí pé ó ní nọ́ḿbà ọlọ́pàá elétígbàròyé lọ́wọ́ ko wa lọ yan fanda níwájú sars ọmọ yahooyahoo ni wó má pé ẹ ìyà ni won ma fi jẹ ẹ,Normal,133
train_yoruba_00040,pẹlẹbẹ ni rọ̀gbọ̀dọ̀ ni ó sì ga bákan náà ló rí tánṣó àfí bíi aràrá,Hate,67
train_yoruba_00041,èṣù ọ̀dàrà ló lẹ agbada onígi méjìi nì pọ̀ láti ìgbà náà ni ẹyẹ ò fi gbé mọ̀lẹ́bí alábahun àjàpá pa jẹ mọ́,Normal,106
train_yoruba_00042,"""@username oloriburuku aye ati orun ni iwo boy to da bi ijapa yi. propaganda protest or what did u just call it?   u're such a fool!""",Abuse,133
train_yoruba_00043,"""@username ta lo ni mummy ofo, ta lo ni mummy oloshi. both of you are mad, if you don't have anyone to tell you. awon agbaya radarada""",Abuse,134
train_yoruba_00044,"""@username òlùlé lèè kíní, òlùlé lèè kèjí, òtú lúlé lèè kètá.... ò'wà kèé😫😥""",Abuse,76
train_yoruba_00045,"""@username yoruba ni mi, mi se dmx bere mi ni obanlede ti ti de cms b’oshe wo mi yi, owo wa lowo mi ti n ba sokoto mi, owo ku lowo mi now, oti gbo faze – kolomental eleyi ti mo muwa yi wa tu n kolo beta se olo ngboran ni, se fe jo wo somo ni? iwo omo yi, se o fe judi wo alujana ni?""",Abuse,283
train_yoruba_00046,"""èmi wá dibo ni lọdọ ọdún b'emi se n wá dibo nìyẹn.   olofọ""",Abuse,60
train_yoruba_00047,"""las las ole ma ko weyrey re kuro ni club wa😠 ##url",Abuse,51
train_yoruba_00048,"""@username gbogbo molebi patapata werey niwon""",Abuse,46
train_yoruba_00049,bí a bá wí a ó kù ú bí a ò wí ọ̀run là ń lọ ó ní bí a ti ṣe ń ṣe nílẹ̀ẹ yoòbá ṣebí wọ́n ní bí a ṣe ń ṣe níbí èèwọ̀ ibòmíì ẹbí méjì ní í ṣe ìgbéyàwó ẹbí ọkọ àti ẹbí aya,Normal,167
train_yoruba_00050,"""@username oloriburuku lawon tobi eee   omo-ale jatijati""",Abuse,57
train_yoruba_00051,"""ode use unemployed. otuocha oshi ##url",Abuse,39
train_yoruba_00052,Mr. Casted! Olodo,Abuse,17
train_yoruba_00053,"""@username awon omo ale jatijati 😩😩""",Abuse,36
train_yoruba_00054,a kì í fura sí ẹni tí a ńbá rìn ẹni tí a bá ńfura sí a kì í bá irú wọn rìn do not be suspicious of those you associate with those you suspicious of should not be your close associates build trust avoid paranoia be positive and forwardlooking,Normal,241
train_yoruba_00055,tí èèyàn bá kú ní ilẹ̀ yorùbá ìgbàgbọ́ àwọn yorùbá ni wípé òkú wọn ò sùn wọ́n ṣì wà pẹ̀lú wọn tí wọ́n ń dá ààbò bò àwọn ọmọ wọ́n àwọn ọmọ ma ń ṣe àdúrà ní ibi ìsà òkú wọn wọ́n ma ń ṣe ìpèsè fún àwọn òkú wọn fún ìyọ́nú àti ìrántí,Normal,228
train_yoruba_00056,"""@username omo jati jati""",Abuse,25
train_yoruba_00057,mo jí mo bọ́jú nítotrí ọ̀bùn èèyàn ní í fojú àná wòran,Abuse,54
train_yoruba_00058,ọlọ́run dá àwọn òrìṣàẹniàìkú ó dá àwọn ènìyàn ó sì dá àwọn ẹranko,Normal,65
train_yoruba_00059,when u happy with those you work with radiodivapatty moninkanola olayinkaojogbenga lórí follow us,Normal,97
train_yoruba_00060,"""aaalo oooo!, aaalo oooo okun nho rururu, osa nho rururu omo buruku tori bo, ta lo mo ooo?  emi mo ooo   o ya so fun wa oooo  sunday igboho!""",Abuse,141
train_yoruba_00061,sodiq e onye nze ko lo le baby e pa o tun pe olopa fun o tun pe olopa fun leyin ko fun lowo e tun le ko pa fun eyin ni nu ya ra to ba gba sha eyin meji o n sha ja sha,Normal,166
train_yoruba_00062,"""@username it takes a super bastard to identify a bastard. don't you agree? ẹranko, ọmọ àlè aláìníran!""",Abuse,103
train_yoruba_00063,"""tribal mark (ila)  oyo tribal mark (ila oyo)  olodo (river gods) family . . the yoruba tribal marks are scarifications which are specific identification and beautification marks designed on the face or body of… ##url",Abuse,217
train_yoruba_00064,bótilẹ̀jẹ́pé ọ̀fọ́nọ̀n ajẹlójú onílé ti jẹ ìwée wọ́n rò pé wèrè ni mo fẹ́rànan ìtàn inúu rẹ̀ mọ̀nàkàì adebayofaletiodigba yoruba,Abuse,128
train_yoruba_00065,that popular yoruba song that says iwo ni kan ni mo fe ma fe lojojumon aiye eeee mimy future husband need to learn it and change it to iwo ni kan ni mo fe ma do lojojumon aiye eee mi,Normal,182
train_yoruba_00066,"""otidaju pe imole ti tan losun. 💡💯""",Normal,35
train_yoruba_00067,"""there's no need for her to post this for the public eye to see...  she's even lucky her dad is trying to make amends, bàbà ìjẹ̀bú no even send me🤣 ##url",Normal,153
train_yoruba_00068,"""ise eniyan ni ise eranko""",Normal,26
train_yoruba_00069,"""cp ben nebolisa okolo fdc, commissioned the prosperity security post, constructed by chief chinedu arthur-ugwa, coordinator ohanaeze ndigbo youth wing, south-south, at the yenagoa area command headquarters, opolo, yenagoa. ##url",Normal,229
train_yoruba_00070,"""@username mashafani oloriburuku omashofo danu ni uselesss head of hooligans, you will waste ni 😂""",Abuse,98
train_yoruba_00071,laye ode oniii kosi ohun ton je alarina mo abi ka so pe facebook ni alarina bayi ti aba tun wo labala ayo igbeyawo awon ajosepo igba naa ma n pe ti kii si mu wahala dani dun lasa,Normal,178
train_yoruba_00072,"""@username ode english ko shakespeare version ni olodo jati jati""",Abuse,65
train_yoruba_00073,pàò ni wọ́n ń gbọ́ wọn kò mọ ibi ìbọn ti ń ró  esinoro yoruba,Normal,61
train_yoruba_00074,Awon Clown gbogbo.,Abuse,18
train_yoruba_00075,"""aye iya ẹ dẹ ma bajẹ ní, iwọ ole jatijati yi..é nor go better for you and your entire generation, lowlife scammer ##url",Abuse,120
train_yoruba_00076,"""ole to gbé kàkàkí ọba nibo ni yi o ti fan ##url",Normal,48
train_yoruba_00077,ọ̀rẹ́ ọdún mẹ́ta kò tó ẹni tí à ńgbára á lé ọ̀tá oṣù mẹ́fà kò tó ẹni tí à ńsà lóògùn a friend of three years is not one to be fully trusted an enemy of six months is not one to be grievously assaulted be perceptive and measured avoid rashness,Normal,242
train_yoruba_00078,"""naira marley...ole ni everybody sultan...e ba mi kiigbe ole psquare..... ole buruku,ni e,ni e 2baba.... i am calling you ole""",Abuse,126
train_yoruba_00079,"""that's how i got to benin with just #1, 000 from ìjẹ̀bú ode""",Normal,61
train_yoruba_00080,"""wedding guests... @ olodo ibadan oyo state ##url",Normal,49
train_yoruba_00081,"""@username oni iro ofo’ olofo nla""",Abuse,34
train_yoruba_00082,"""my president, your president &amp; our president. happy 71st birthday akanbi omo olodo'de, jagaban borgu of universe, ekun oko oluremi, baba seyi @username eni ti pdp ri ti won ferege, eni ti lp ri ti wan gba gbe isedale wan. may your reign as the president of nigeria favour us🙏🏾 ##url",Normal,287
train_yoruba_00083,pàdí mi wọ́n ti ní ìgbà ò lọ bí òréré ayé ò lọ bí ọ̀pá ìbọn àmọ́ àwa ò ní gbàgbé ìrẹ gẹ́gẹ́ bí ààrẹ adú usa ó dìgbòóṣe,Normal,118
train_yoruba_00084,àgbájọ ọwọ́ la fi ń sọ̀yà àjòjì ọwọ́ kan ò gbẹ́rù dórí️to support this project sango yoruba,Normal,91
train_yoruba_00085,"""“palazzo jiggy gboja k’ole reason, no sleeping, omo no dulling, gba updating kia-kia omo iyami, my g oshaaa mo j’aami. oju de m’ati awon ota mi, eba mi s’amin, omolomo l’arin ota ni”  asake @username you ate palazzo raw bro 😎""",Normal,227
train_yoruba_00086,"""oloriburuku ni e. o ni jere. abirun omo. fuck you. ##url",Abuse,57
train_yoruba_00087,mo mọ abd èmi ò kí nṣe olódo,Normal,28
train_yoruba_00088,"""werey lo po ninu gbogbo yin se. ##url",Abuse,38
train_yoruba_00089,"""@username oda wi pe oloriburuku ni padi yinn oo..aye eleyi ti baje fa""",Abuse,71
train_yoruba_00090,"""haaa! ogbontarigi ole! ham robber! adigun jale! mo fo oh! technique ewo tun leleyi? i need update my os abeg! this is futuristic stuff in fact. ahahn😂 😂 ##url",Abuse,159
train_yoruba_00091,nígbà tí olódodo bá di eniyan pataki àwọn eniyan a máa yọ̀ ṣugbọn nígbà tí eniyan burúkú bá wà lórí oyè àwọn eniyan a máa kérora ìwé òwebm endsarsendsarsprotests endpolicebrutality,Normal,180
train_yoruba_00092,"""okunrin abirun eti odo yen  wipe, ""emi ko ni eni"" a i ni eni yii lo mu ki o lo odunmejidinlogoji. nitorinan, mo paalase, fun iye awon eni ti o ba le se amin pelu ikanra, o o tun jiya aileniyan mo. tun gbo eleyi,… ##url",Normal,219
train_yoruba_00093,òjíṣẹ́ ọba ẹrú ọba àti ìwẹ̀fà láti fi ṣe àrokò sí aólẹ̀ oníkòyí kakanfò ọ̀pẹ̀lẹ̀ òwòta àti baṣọ̀run rọ̀gbà yí odi ọ̀yọ́ ká fún ogójì lé méjì ọjọ́ aláàfin aólẹ̀ ráńṣẹ́ sí wọn wípé bí wọ́n bá ti tọ́jú ogun dé yálà wọ́n ṣẹ́gun tàbí ogun fi,Normal,236
train_yoruba_00094,"""ori e ti daru and i'm here to tell you... oponu alainironu. ode ##url",Abuse,70
train_yoruba_00095,"""u are not even even among the artiste yet...talk more of richest...ma lo drop orin gidi joko ko to ma shey oshi kiri ##url",Abuse,123
train_yoruba_00096,bùbá ibiìbà hiding place ajá ò gbọdọ̀ bá ẹkùn ní bùbá,Normal,56
train_yoruba_00097,"""koniragba fun gbogbo awon werey ton beyin ati enu to fin paro yen ##url",Abuse,72
train_yoruba_00098,"""dapo, o need gbo gbo eleyi.  ko necestri.""",Normal,43
train_yoruba_00099,"""iwa werey ni gbogbo yin wu.""",Abuse,29
train_yoruba_00100,"""from iwo olódo oba. ọmọ á tẹ́nì gbọlá. iwo ìlú alfa ##url ##url",Normal,64
train_yoruba_00101,"""awon olofo to n binu ologo... ##url",Abuse,36
train_yoruba_00102,Is Cast nothing like casted..  Oloyinbo oshi,Abuse,44
train_yoruba_00103,"""@username oponu, olopolo dudu.. olofo to n binu ologo  ote lo ma pa e.""",Abuse,72
train_yoruba_00104,"""ori iya won buru ##url",Abuse,23
train_yoruba_00105,njẹ́ bí a bá wípé gàmbàrí pa fúlàní ò lẹ́jọ́ ńnú ìyẹn ti di ọ̀rọ̀ àná gàmbàrí pa fúlàní ó pa ọmọ íbò náà ẹjọ́ ti di rẹpẹtẹ,Hate,122
train_yoruba_00106,"""àwọn weyrey. na dem dey hail késárì in 4 parts 😂😂😂😂😂😂 ##url",Abuse,60
train_yoruba_00107,"""eyin toh laye, iwa ofo lenwu yi o! eyin alale ile yii, iwa werey leleyi o! iya nje omo awo, ee de ri nkan kan shey si!""",Abuse,120
train_yoruba_00108,ṣè bí wọ́n ní lálá tó ròkè ilẹ̀ ló ń bọ̀ hmm,Normal,44
train_yoruba_00109,"""wa ke ku ni omo ale ##url",Abuse,26
train_yoruba_00110,àmọ́ ṣá piparun rẹ̀ di ọwọ́ọ kówáa wa píparun rẹ̀ ńkọ́ ọwọ́ọ dede wa ló wá ọmọ àlè ní í fi ọwọ́ òsì júwe ilé e baba rẹ̀,Abuse,119
train_yoruba_00111,"""there's a brother kola in all the towns in that area. from ikenne to ilishan to odogbolo,ijebu ode,ife,sagamu,ode-remo,iperu,ipara etc. those places mad gan😂😂😂😂 ##url",Normal,167
train_yoruba_00112,a jẹ́ pé gbogbo ọ̀nà ló kọrí sí ìjẹ̀bú àbí,Normal,42
train_yoruba_00113,"""awon omo ole ##url",Abuse,19
train_yoruba_00114,"""@username imagine this mùmú!🤷🏾‍♂️🤣 ọrọ ẹ kòle jọmí l'ójú, ẹni a fẹ́ sunjẹ lọ̀rọ̀ ẹ, tó tún ń f'epo para, yíó báa lè tètè jóná gbúrúgbúrú ni. òpònú ayíràdà, onígbèéraga!!!😒😏😠😡""",Abuse,176
train_yoruba_00115,"""the girl or bot account is run by a omo ale jatijati, omo iran ki iran @username ##url",Abuse,87
train_yoruba_00116,"""@username garbage you be rapist? you sexually assisted 3 minors and you think you have an opinion to err, we dey come for you, sho ni ori e buru, ole, òle, oponu, #endswat #cutdowngovtsalary ##url",Abuse,197
train_yoruba_00117,ọmọ aráyé ńpàtẹ́wọ́ fún yànmùyánmú inú ẹ̀ ńdùn kò mọ̀ pé òun ńfi ikú ṣeré ni mosquito rejoices when people clap for it not realising that it is toying with death be perceptive naivety can prove costly not all doors open to great rooms,Normal,234
train_yoruba_00118,a à rí i ooo ó yẹ kí a máa kọ ọ́ ní ọ̀tọ̀ọ̀tọ̀ ni a kò gbọdọ̀ kọ ọ́ papọ̀ àfi bí a bá ṣe ìsúnkì aàrí kò tọ̀nà a à rí i ni ó yẹ a à rí i náà ni a ò rí i ️,Normal,153
train_yoruba_00119,"""please come to nigeria...ori iya e ma buru ni,sho lo stupid ni 🤦‍♂️ ##url",Abuse,74
train_yoruba_00120,ẹni gíga bíi ààrẹ ni à ń pè ní agúntáṣọọ́lò ẹlẹ́sìn tí ó mú ẹ̀sìn ìmàlemùsùlùmí dé ojú àmì ni à ń pè ní akéúṣọlá afínjú ènìyàn ni à ń pè ní,Normal,139
train_yoruba_00121,"""@username omo radarada means oniranu.""",Normal,39
train_yoruba_00122,"""@username ambode was right. omo oloja ni bobo yi""",Normal,50
train_yoruba_00123,"""@username werey ni bọbọ yìí sha  🤣😂🤣""",Abuse,38
train_yoruba_00124,ẹ̀wà àgànyìn àti páfun n ò fi ṣeré rí,Normal,37
train_yoruba_00125,"""soro soke!!! kilo so!!! weyrey ni gbogbo yin.....like you ban rallies in ondo and edo ani????.....  we are not backing down!!! #endpolicebrutalityinnigeria ##url",Abuse,162
train_yoruba_00126,"""my best friend cheikh ibrahima ousmane fatty niass #bigbrothernaija @ oki olodo junction,ibadan! ##url",Normal,103
train_yoruba_00127,"""oloshi ni parrot yi oooo""",Abuse,26
train_yoruba_00128,"""omo ale jati jati... akoshibero, arindin ##url",Abuse,47
train_yoruba_00129,eni rii oba fin lobo npaomo oba lawa kama yan nitori oluwa see wa logo lafiiwa laye,Normal,83
train_yoruba_00130,"""in many climes, many words innocently used by nigerians would fail integration and humanity  tests: omo ibo omo ina ajekotumamumimi aboki molaa ngbati n gbati dogoo urhobo wayo even to ourselves, we are innocently tribal and bigots!""",Normal,234
train_yoruba_00131,"""ojo gbogbo ni ti ole, ojo kan ni ti olohun! &lt;&lt;&lt;&lt; i hate this proverb with passion! why you no fit nab the ole once and for all""",Normal,140
train_yoruba_00132,"""@username your mate building their empire for future generations unborn,  and you are here criticising him. while you are eating oha soup..  oloshi oloriburuku ##url",Abuse,166
train_yoruba_00133,clans and their heritage names ẹ̀yà yorùbá àti orúkọ ìṣẹ̀m̀báyé wọn ìjẹ̀bú ọmọ alárẹ̀ ẹ̀gbá ọmọ líṣàbi ìbàdàn ọmọ ajòrosùn ọ̀ffà ọmọ lálọmí àkúrẹ́ olóyè mẹkùn ìwó ọmọ odò ọbà ìlọrin àfọ̀njá ifẹ̀ òòduà,Normal,200
train_yoruba_00134,"""lmooooooooooooooooooooooooo, omo àlè orukan... you think you can talk ##url",Abuse,76
train_yoruba_00135,"""unah no shout weather for two again? ara yin o move mo. emi yin ti fe bo. sapa pro max ti regulate hormones gbogbo yin. eyin werey gbogbo oni dokudo.""",Abuse,151
train_yoruba_00136,"""@username oloriburuku people. thiefnubu lagos agbero are deaf and blind.""",Abuse,74
train_yoruba_00137,Ahhh... O kuku gbo ede Yoruba... O ti lule,Abuse,42
train_yoruba_00138,"""na garri ijebu i go sell o😁🚶🚶🚶 @ oshodi, lagos, nigeria ##url",Normal,62
train_yoruba_00139,"""dear lagos state apc whatsapp group chats, igbos are not your enemy, politicians are.  eyin alatenuje onijekuje oshi gbogbo wonyi!🖐️""",Abuse,134
train_yoruba_00140,wọ́n kú ní àgùtàn ni wá àwọn sì ni olùṣọ́ àgùtàn wọ́n fọ̀nà hàn wá àṣà tó kó báwa la gba wèrè rẹ̀,Abuse,100
train_yoruba_00141,"""*fun àkíyèsí pataki,* ìlú sagamu jé olú ìlú rémo, ti ikenne,ode, iperu, ode, ilisan,akaka,ipara,ilara,ogere, ati bẹ̀bẹ́ lọ, jẹ́ ara ninu awọn ilu tio wa ni abẹ̀ ẹ́. èdè rémo ni ede wa, kìí se ìjèbú.""",Normal,200
train_yoruba_00142,"""@username kokuku ye emi na ""gallant"" sir?jogbojogbo jatijati &amp; ##url ##url",Normal,79
train_yoruba_00143,"""ewo leegungun oshi to gbe sara. oloun o ni je n ri iru re o. ##url",Normal,67
train_yoruba_00144,"""🤣😂😂😂🤣🤣😂 skrep eleyi ti mo ri ni ojo tuesday dey find who go add 5h join him money to buy rice ni hexagon come dey form influencer here pelu edited avi.  o je duro si lane e. mo ma drag iyalaya babanla ku baba e to ba try mi""",Abuse,225
train_yoruba_00145,"""@username when the spirit of the dead will start to hunt you awon iya e osoromaniga won't be able to save ur wicked soul  oloriburuku omo ale""",Abuse,143
train_yoruba_00146,"""óní boyfriend kìnnì, ó lulè😥 óní boyfriend kejì, ó lulè🥲 óní boyfriend keta, ó lulè.😩 ó wá n sunkún lórí whatsapp status😪😅 ó ti è sopé òhun kòní boyfriend mo🙄. nu ojú re nu✌️  èmi lókàn🥰""",Abuse,188
train_yoruba_00147,"""leave @username alone, don't drag his name in the mud like you are dragging people who are sacrificing everything for #endsarsprotests . he is not running for anything and don't drag him to be on any mumu committee. eléríbú ni púpò nínú yín. #endswat""",Abuse,252
train_yoruba_00148,ìlẹ̀kẹ̀ àwọ̀ ewébẹ̀ ìyeyè aró àti oyin ni ti òṣóòsì òṣóòsì ló fi gbẹ́rẹ́ ajábọ kọ́ ọmọ aráyé,Normal,92
train_yoruba_00149,"""because you are baba ijebu...  ta tan sibe ##url",Normal,49
train_yoruba_00150,"""@username ayinla oponu omo ale jatijati… baba e nile lo n bawi omo iran kiran""",Abuse,79
train_yoruba_00151,níbo wá ni iléyá ti wá gan an àti pé kílódé tí àwọn ẹlẹ́sìn ìmàle ṣe ńpa ẹran lọ́dún iléyá,Normal,90
train_yoruba_00152,won a kunjú kunnu bí ère ìdí òsà wèrè ni àwọn wo nù n o,Abuse,56
train_yoruba_00153,"""the oba of lagos should be taken to court for hoarding the palliatives. the person that handed it to him to should be tried!  oloriburuku ni gbogbo won""",Abuse,153
train_yoruba_00154,"""@username it was your father that killed him...ọmọ ale jati jati""",Abuse,66
train_yoruba_00155,"""l'awujo awon eranko ati eye""",Normal,29
train_yoruba_00156,"""@username oloriburuku mashafani😂😂😂😂😂 part of our useless youth,walahi no near me oooo,i no dy fight person oooo,biko avoid me biko""",Abuse,132
train_yoruba_00157,"""eleribu ni david luiz yi olohun masanfani omo!!!""",Abuse,50
train_yoruba_00158,"""do not underrate the power of an angel coach... ọlẹ #mufc ##url",Abuse,64
train_yoruba_00159,"""@username awon oloriburuku 😂""",Abuse,30
train_yoruba_00160,"""@username oloriburuku ni boy yi 😂🤣😂🤣😂""",Abuse,39
train_yoruba_00161,ifa mo lo di iyannfon  ifa ni ta ni n da  ifa ni ta ni n fon  won ni odidere mofe omo odo oba ni n dajo olodumare oba si rere si rere  olodumare ni e so fun odidere mofe omo odo oba  to n dajo oun olodumare oba si rere si rere  e pe ko maa ti ire idi re bo inu epo,Normal,264
train_yoruba_00162,bótilẹ̀jẹ́pé ọ̀fọ́nọ̀n ajẹlójú onílé ti jẹ ìwée wọ́n rò pé wèrè ni mo fẹ́rànan ìtàn inúu rẹ̀ mọ̀nàkàì,Abuse,101
train_yoruba_00163,"""that thing na bastard. omo ale jatijati. ##url",Abuse,47
train_yoruba_00164,"""ti o ba lero pe o jẹ eniyan alariwisi oniwa buruku, ó kéré tán, má ṣe jẹ́ kí ìmọ̀lára yẹn wà nínú ọkàn àwọn ẹlòmíràn.  toba beta, ##url",Normal,136
